Trajectories
200
,,Flo:lshoulder,,,Flo:rshoulder,,,Flo:elbow,,,Flo:wrist,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
220,0,-154.783,119.976,63.9291,219.15,103.688,14.7585,528.713,200.035,3.53561,788.69,212.586,14.2174
221,0,-154.789,119.923,63.9057,219.207,103.685,14.7288,528.713,200.035,3.53516,788.691,212.567,14.172
222,0,-154.789,119.921,63.9018,219.233,103.697,14.6655,528.713,200.035,3.53499,788.693,212.568,14.1596
223,0,-154.789,119.922,63.9029,219.174,103.699,14.7028,528.713,200.035,3.53501,788.682,212.581,14.107
224,0,-154.794,119.901,63.9327,219.209,103.709,14.8467,528.713,200.035,3.53504,788.683,212.584,14.0906
225,0,-154.801,119.873,63.923,219.189,103.699,14.9157,528.713,200.035,3.53504,788.692,212.589,14.1963
226,0,-154.801,119.873,63.9181,219.192,103.727,14.9081,528.713,200.035,3.53504,788.679,212.578,14.1334
227,0,-154.801,119.873,63.9177,219.197,103.704,14.8889,528.698,199.977,3.52877,788.681,212.601,14.1401
228,0,-154.801,119.873,63.9182,219.199,103.703,14.8815,528.699,199.953,3.5314,788.68,212.601,14.1518
229,0,-154.801,119.873,63.9183,219.199,103.703,14.882,528.696,199.932,3.50241,788.68,212.6,14.1554
230,0,-154.808,119.847,63.9019,219.198,103.703,14.885,528.684,199.896,3.51982,788.681,212.581,14.1087
231,0,-154.812,119.798,63.9221,219.19,103.661,14.8754,528.684,199.871,3.53011,788.682,212.601,14.1383
232,0,-154.806,119.817,63.8997,219.197,103.7,14.8857,528.682,199.85,3.50042,788.681,212.582,14.1096
233,0,-154.837,119.813,63.8459,219.19,103.662,14.8754,528.682,199.851,3.49171,788.683,212.582,14.0958
234,0,-154.839,119.814,63.8375,219.119,103.654,14.9443,528.682,199.851,3.4928,788.683,212.583,14.0954
235,0,-154.866,119.837,63.8209,219.181,103.673,14.7986,528.682,199.851,3.49425,788.681,212.596,14.0497
236,0,-154.852,119.828,63.8759,219.166,103.695,14.7229,528.682,199.851,3.49451,788.668,212.539,14.0775
237,0,-154.865,119.835,63.8316,219.135,103.636,14.8854,528.685,199.872,3.52456,788.664,212.551,14.0731
