Trajectories
200
,,,,,,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
209,0,766.189,291.044,-96.9361,505.715,234.265,-55.9949,176.069,77.0155,26.4975,-94.8391,80.1634,24.6317
210,0,766.259,290.961,-96.929,505.762,234.249,-56.0929,176.108,76.9877,26.4236,-94.8138,80.1081,24.5974
211,0,766.323,290.875,-96.8581,505.791,234.242,-56.0884,176.128,76.9614,26.4524,-94.8016,80.0617,24.5356
212,0,766.398,290.788,-96.8356,505.825,234.215,-56.1303,176.155,76.9389,26.3782,-94.7658,79.9623,24.4403
213,0,766.464,290.702,-96.8168,505.827,234.215,-56.1419,176.197,76.9144,26.2763,-94.7436,79.8817,24.4299
214,0,766.546,290.658,-96.7642,505.909,234.178,-56.1071,176.245,76.8675,26.2086,-94.7004,79.8052,24.3679
215,0,766.626,290.653,-96.7854,505.911,234.195,-56.1039,176.275,76.8452,26.1129,-94.6869,79.7331,24.286
216,0,766.646,290.624,-96.6828,505.984,234.177,-56.1449,176.308,76.8134,26.1012,-94.6514,79.6332,24.1896
217,0,766.766,290.564,-96.6652,505.989,234.177,-56.1579,176.372,76.7945,25.9528,-94.6337,79.5529,24.1405
218,0,766.853,290.562,-96.7108,506.06,234.151,-56.2314,176.433,76.7451,25.8773,-94.5733,79.4396,24.1303
219,0,766.903,290.583,-96.545,506.065,234.153,-56.25,176.489,76.7186,25.7966,-94.5313,79.3364,24.0898
220,0,766.975,290.553,-96.4482,506.144,234.135,-56.2188,176.539,76.6438,25.7301,-94.4951,79.2357,23.9974
221,0,767.056,290.548,-96.4761,506.236,234.167,-56.2771,176.589,76.6474,25.6477,-94.4334,79.0971,23.9635
222,0,767.141,290.553,-96.4258,506.242,234.199,-56.2678,176.675,76.6199,25.5388,-94.3566,79.0159,23.895
