Trajectories
200
,,,,,,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
172,0,-109.962,69.1684,33.9294,193.561,41.0878,41.954,499.192,149.501,-19.8632,740.559,188.273,-32.3425
173,0,-109.99,69.1722,33.9115,193.56,41.086,41.9611,499.18,149.468,-19.8471,740.543,188.227,-32.3846
174,0,-110.015,69.1689,33.9869,193.542,41.0982,41.8929,499.2,149.457,-19.8083,740.545,188.209,-32.3762
175,0,-110.072,69.1815,33.9344,193.504,41.1002,41.9468,499.201,149.456,-19.7994,740.544,188.209,-32.3657
176,0,-110.066,69.2347,33.9357,193.492,41.0788,41.9499,499.201,149.456,-19.7985,740.546,188.17,-32.3852
177,0,-110.064,69.2358,33.9407,193.493,41.078,41.9445,499.201,149.457,-19.8031,740.53,188.129,-32.3735
178,0,-110.064,69.2347,33.9422,193.496,41.0503,41.9311,499.198,149.413,-19.8349,740.513,188.156,-32.4365
179,0,-110.088,69.2313,34.0155,193.473,41.0504,41.9153,499.199,149.411,-19.8413,740.53,188.148,-32.4082
180,0,-110.108,69.2814,34.0219,193.473,41.0503,41.9134,499.199,149.412,-19.8395,740.513,188.172,-32.5025
181,0,-110.109,69.2842,34.0142,193.481,41.0722,41.9334,499.199,149.412,-19.8382,740.518,188.162,-32.4731
182,0,-110.1,69.334,34.0336,193.47,41.08,41.9302,499.219,149.426,-19.8053,740.516,188.134,-32.531
183,0,-110.1,69.3354,34.0377,193.484,41.1287,41.9193,499.219,149.425,-19.7976,740.518,188.135,-32.5523
184,0,-110.097,69.3188,34.185,193.479,41.1028,41.9426,499.205,149.346,-19.8036,740.52,188.12,-32.531
185,0,-110.096,69.3409,34.1937,193.48,41.0724,41.9397,499.183,149.351,-19.8362,740.5,188.095,-32.5239
186,0,-110.087,69.3678,34.1918,193.444,41.0712,42.0073,499.183,149.354,-19.8452,740.499,188.094,-32.5239
187,0,-110.087,69.3948,34.1984,193.414,41.1012,42.0188,499.168,149.296,-19.8476,740.5,188.094,-32.5257
188,0,-110.086,69.3947,34.1978,193.436,41.1017,42.0272,499.172,149.294,-19.8157,740.502,188.071,-32.5662
189,0,-110.086,69.3943,34.1972,193.422,41.1294,41.9893,499.171,149.315,-19.803,740.486,188.031,-32.5992
190,0,-110.078,69.4187,34.2101,193.445,41.1304,41.9931,499.242,149.314,-19.8472,740.487,188.014,-32.5804
191,0,-110.078,69.4194,34.2125,193.447,41.1279,41.9981,499.227,149.324,-19.8973,740.485,188.028,-32.5906
192,0,-110.078,69.419,34.2119,193.43,41.1519,42.0015,499.174,149.32,-19.8313,740.484,188.047,-32.6193
193,0,-110.093,69.4811,34.124,193.429,41.1533,42.0017,499.223,149.348,-19.9721,740.55,188.091,-32.7555
194,0,-110.067,69.4731,34.178,193.429,41.1528,42.0014,499.18,149.372,-19.9494,740.512,188.077,-32.67
195,0,-110.066,69.4954,34.2087,193.433,41.2086,41.9856,499.235,149.432,-20.018,740.55,188.066,-32.7834
196,0,-110.059,69.521,34.2221,193.442,41.2322,41.9996,499.246,149.459,-20.012,740.559,188.095,-32.7933
197,0,-110.067,69.497,34.2083,193.422,41.2441,41.9356,499.235,149.501,-20.056,740.556,188.095,-32.7797
198,0,-110.059,69.5211,34.2197,193.429,41.2735,41.8921,499.184,149.498,-20.0017,740.478,188.098,-32.7482
199,0,-110.056,69.5729,34.2034,193.407,41.2758,41.8724,499.179,149.495,-19.979,740.471,188.128,-32.8165
200,0,-110.056,69.575,34.1977,193.402,41.3044,41.8822,499.184,149.518,-19.9516,740.476,188.133,-32.8441
201,0,-110.059,69.5489,34.2265,193.409,41.327,41.9049,499.153,149.54,-20.0488,740.475,188.155,-32.8024
202,0,-110.059,69.5468,34.2321,193.434,41.3248,41.9253,499.155,149.566,-20.073,740.475,188.115,-32.805
203,0,-110.059,69.5474,34.2299,193.418,41.3531,41.8866,499.167,149.6,-20.0916,740.476,188.113,-32.8105
204,0,-110.059,69.5476,34.2288,193.411,41.3278,41.9018,499.168,149.601,-20.0944,740.475,188.138,-32.7718
205,0,-110.059,69.5222,34.2225,193.41,41.326,41.9081,499.134,149.553,-20.1046,740.475,188.181,-32.8905
206,0,-110.056,69.5459,34.1938,193.41,41.3266,41.9075,499.134,149.622,-20.1983,740.48,188.211,-32.8936
207,0,-110.085,69.5356,34.1408,193.41,41.3267,41.9066,499.087,149.623,-20.1515,740.478,188.21,-32.877
208,0,-110.082,69.5604,34.1046,193.416,41.3546,41.8797,499.081,149.618,-20.1237,740.414,188.215,-32.8534
209,0,-110.082,69.5879,34.1102,193.418,41.3556,41.8754,499.158,149.637,-20.131,740.472,188.207,-32.9013
210,0,-110.082,69.5881,34.1152,193.414,41.3841,41.8865,499.142,149.647,-20.1716,740.481,188.185,-32.9647
211,0,-110.112,69.5894,34.119,193.397,41.3689,41.8113,499.137,149.626,-20.212,740.48,188.201,-32.9946
212,0,-110.095,69.5122,34.1231,193.375,41.3703,41.779,499.086,149.62,-20.1447,740.466,188.215,-33.0476
213,0,-110.07,69.5123,34.0515,193.396,41.3702,41.7915,499.081,149.618,-20.1198,740.481,188.204,-33.0084
214,0,-110.069,69.5152,34.0342,193.368,41.3428,41.8107,499.133,149.624,-20.197,740.465,188.213,-33.0393
215,0,-110.069,69.5146,34.0362,193.345,41.3601,41.703,499.139,149.627,-20.2195,740.465,188.149,-32.9639
216,0,-110.095,69.5267,33.9641,193.383,41.365,41.6037,499.139,149.625,-20.2123,740.462,188.118,-32.9748
217,0,-110.096,69.5288,33.9477,193.387,41.365,41.5917,499.158,149.617,-20.1793,740.449,188.156,-33.0008
218,0,-110.096,69.5282,33.952,193.379,41.3362,41.6279,499.138,149.602,-20.2051,740.465,188.123,-32.9997
219,0,-110.135,69.5059,33.9469,193.33,41.2986,41.5258,499.125,149.569,-20.1906,740.464,188.144,-32.9538
220,0,-110.128,69.5294,33.9569,193.338,41.3219,41.5173,499.124,149.566,-20.1823,740.463,188.12,-32.9812
221,0,-110.136,69.4803,33.9395,193.331,41.301,41.5072,499.121,149.544,-20.2118,740.465,188.12,-32.9954
222,0,-110.135,69.504,33.9422,193.337,41.3276,41.4823,499.144,149.536,-20.1815,740.451,188.042,-32.9972
223,0,-110.135,69.5057,33.9437,193.318,41.3416,41.4073,499.195,149.539,-20.2455,740.511,188.046,-33.0707
224,0,-110.135,69.5053,33.9439,193.288,41.3176,41.406,499.197,149.494,-20.1752,740.517,188.066,-33.1572
225,0,-110.138,69.4951,33.7873,193.324,41.3157,41.3422,499.18,149.458,-20.2485,740.518,188.069,-33.1322
